id,make,model,year,mileage,listing_price,url
66,Aston Martin,Vantage Base,2023,303,995995,https://www.cars.com/vehicledetail/2e48facb-5acd-4d5f-b231-23d56549d90f/
67,Ferrari,SF90 Spider,2022,491,991000,https://www.cars.com/vehicledetail/d3e053f5-bdb0-436c-8747-6ddb18b0de5a/
68,Ferrari,458 Speciale Base,2015,90,979995,https://www.cars.com/vehicledetail/861a1cca-50ba-44a3-a6d4-a9ebfab9101d/
69,Ferrari,458 Speciale Base,2015,3144,975000,https://www.cars.com/vehicledetail/72f3f2e7-620b-4c9b-a75b-31402d8ec4fd/
70,Mercedes-Benz,SLS AMG Black Series Base,2014,2800,949995,https://www.cars.com/vehicledetail/ceff5958-6f81-4b85-b0be-b9eb06e1db8a/
71,Lexus,LFA,2012,4611,946900,https://www.cars.com/vehicledetail/7c19c640-b5e6-47e7-8fe7-ba5202b8858e/
72,Ferrari,SF90 Spider Base,2022,221,939900,https://www.cars.com/vehicledetail/6568641c-8443-47c6-ad4c-6912fb42056c/
73,Ferrari,SF90 Spider Base,2023,110,939900,https://www.cars.com/vehicledetail/76acbfa3-649d-4df0-9c1a-5f48eceb9502/
74,Porsche,911 Turbo,1994,29351,925000,https://www.cars.com/vehicledetail/0dcbf5b6-0614-4924-a30d-4fa36ce9a3ab/
75,Rolls-Royce,Cullinan Base,2020,120,899995,https://www.cars.com/vehicledetail/94072636-5b56-4b2b-8ce2-4224bb5d6a03/
76,Lamborghini,Aventador SVJ Base,2020,2680,899989,https://www.cars.com/vehicledetail/966d6e70-f816-44f0-bce2-dfe8ec9ff4b1/
77,Aston Martin,Vanquish Zagato,2018,18,899950,https://www.cars.com/vehicledetail/e5460184-b4b5-42ca-b7b2-d7690e5a87ea/
78,Porsche,911 GT3 RS 4.0,2011,245,899900,https://www.cars.com/vehicledetail/34ad5e87-4f75-4f6b-acd3-686408a9e14e/
79,Mercedes-Benz,AMG GT BS,2021,64,899900,https://www.cars.com/vehicledetail/29595832-df91-49b2-860c-ab846c208227/
80,Porsche,911 GT2 RS Clubsport Manthey Racing 25,2022,37,899900,https://www.cars.com/vehicledetail/a7878032-8642-4ab8-8037-e8c53b4befbc/
81,Lamborghini,Aventador SVJ Base,2021,3256,899800,https://www.cars.com/vehicledetail/2772fbcf-963f-46b0-a5b7-7bcc09778c46/
82,Rolls-Royce,Phantom,2023,30,899000,https://www.cars.com/vehicledetail/06e0cfb9-3fdc-4de9-9f77-9652251ca6bf/
83,Ferrari,SF90 Spider Base,2022,804,898991,https://www.cars.com/vehicledetail/8ed0dec3-a8df-484b-875f-453d45a095ec/
84,McLaren,765LT Base,2022,2755,898888,https://www.cars.com/vehicledetail/410ede86-9e15-4a8c-a790-73ec3a168ed2/
85,Lamborghini,Aventador SVJ Base,2020,1869,889989,https://www.cars.com/vehicledetail/d9d04403-ee22-46c0-8d54-d461e4872c84/
86,Ferrari,SF90 Spider Base,2023,143,879890,https://www.cars.com/vehicledetail/54bb00e3-aafd-41f2-9464-0e137bebc2ed/
87,Ferrari,SF90 Stradale Base,2022,1301,869000,https://www.cars.com/vehicledetail/db1c8f16-d450-4700-b3c0-fb3dca23f589/
88,Lamborghini,Aventador SVJ Base,2020,4963,859950,https://www.cars.com/vehicledetail/75af6ed5-c843-4fa7-81d3-68818f93d9a4/
89,Ferrari,SF90 Stradale Base,2021,290,859000,https://www.cars.com/vehicledetail/aca92614-cfe5-4e64-9074-7d89f21b46d2/
90,Ferrari,SF90 Spider Base,2022,1082,849990,https://www.cars.com/vehicledetail/75a8c845-14da-4286-86df-9c130e2fbb31/
91,Ferrari,488 Pista Spider Base,2020,103,849950,https://www.cars.com/vehicledetail/39d19672-7bad-4f29-8377-0ba8f25633a4/
92,Ferrari,SF90 Spider Base,2022,570,849900,https://www.cars.com/vehicledetail/b24ff629-3788-49fe-900f-63d536373684/
93,Porsche,911 GT3 RS 4.0,2011,1800,849000,https://www.cars.com/vehicledetail/92324bbc-97f5-4e21-a3aa-9c9b2973efe0/
94,Ferrari,SF90 Spider Base,2022,61,849000,https://www.cars.com/vehicledetail/a3a98ef6-9227-4918-bd4e-0faba8f82e4f/
95,Ferrari,SF90 Spider Base,2022,3155,843999,https://www.cars.com/vehicledetail/4527dfc2-4b34-419b-929d-322096ffa90e/
96,Ferrari,SF90 Stradale Base,2022,1689,829999,https://www.cars.com/vehicledetail/2beec7c0-f0e6-4e27-8ff0-e98df136677e/
97,Lamborghini,Aventador SVJ Base,2020,2618,829991,https://www.cars.com/vehicledetail/4e8a75b2-473e-48e6-93d9-9f6a5d15ab5c/
98,Lamborghini,Aventador SVJ SVJ,2020,3495,829000,https://www.cars.com/vehicledetail/03f7a75b-6e47-450d-96ce-78d52611523e/
99,Ferrari,SF90 Spider Base,2022,371,825000,https://www.cars.com/vehicledetail/472c07ad-353d-4b87-8f1c-4292de2e0d85/
100,Ferrari,SF90 Spider Base,2022,188,824990,https://www.cars.com/vehicledetail/a2dd5b2c-e668-4bc2-b55a-221b7f1edd37/
101,Ferrari,SF90 Spider Base,2022,831,819800,https://www.cars.com/vehicledetail/89eeb134-a07a-4cf8-86db-3c5de80ee88b/
102,Lamborghini,Aventador SVJ Roadster,2021,8190,815900,https://www.cars.com/vehicledetail/7b6b28b8-9c7c-4e3d-8bec-c5efc7a5ae9e/
103,Lamborghini,Aventador SVJ Base,2020,1248,799999,https://www.cars.com/vehicledetail/a99f2ee6-4e78-4318-98f3-92905090d3b3/
104,Mercedes-Benz,SLS AMG Black Series Base,2014,5057,799989,https://www.cars.com/vehicledetail/a5300de0-7b78-4c19-a21d-03cbc7e60ac0/
105,Lamborghini,Aventador SVJ LP 770-4 SVJ,2020,1474,799980,https://www.cars.com/vehicledetail/363472d1-1884-4b7c-b982-2355bd791ba2/
106,Porsche,911 GT2 RS,2011,527,799900,https://www.cars.com/vehicledetail/45c9f4f7-616e-455f-82fd-571efa03457d/
